Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LGA and Local Government Areas (2011 Boundaries) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"

"Counting","LGA","Local Government Areas (2011 Boundaries) (POW)","Count",
"Persons, Place of Work","Golden Plains (S)","Wangaratta (RC)",0
"Persons, Place of Work","Golden Plains (S)","Warrnambool (C)",4
"Persons, Place of Work","Golden Plains (S)","Wellington (S)",3
"Persons, Place of Work","Golden Plains (S)","West Wimmera (S)",0
"Persons, Place of Work","Golden Plains (S)","Whitehorse (C)",7
"Persons, Place of Work","Golden Plains (S)","Whittlesea (C)",7
"Persons, Place of Work","Golden Plains (S)","Wodonga (RC)",0
"Persons, Place of Work","Golden Plains (S)","Wyndham (C)",109
"Persons, Place of Work","Golden Plains (S)","Yarra (C)",19
"Persons, Place of Work","Golden Plains (S)","Yarra Ranges (S)",0
"Persons, Place of Work","Golden Plains (S)","Yarriambiack (S)",0
"Persons, Place of Work","Golden Plains (S)","POW Capital city undefined (Greater Melbourne)",53
"Persons, Place of Work","Golden Plains (S)","Unincorporated Vic",0
"Persons, Place of Work","Golden Plains (S)","POW No Fixed Address (Vic.)",412
"Persons, Place of Work","Golden Plains (S)","POW State/Territory undefined (Vic.)",610
"Persons, Place of Work","Greater Bendigo (C)","Alpine (S)",0
"Persons, Place of Work","Greater Bendigo (C)","Ararat (RC)",11
"Persons, Place of Work","Greater Bendigo (C)","Ballarat (C)",67
"Persons, Place of Work","Greater Bendigo (C)","Banyule (C)",15
"Persons, Place of Work","Greater Bendigo (C)","Bass Coast (S)",9
"Persons, Place of Work","Greater Bendigo (C)","Baw Baw (S)",4
"Persons, Place of Work","Greater Bendigo (C)","Bayside (C)",26
"Persons, Place of Work","Greater Bendigo (C)","Benalla (RC)",3
"Persons, Place of Work","Greater Bendigo (C)","Boroondara (C)",38
"Persons, Place of Work","Greater Bendigo (C)","Brimbank (C)",63
"Persons, Place of Work","Greater Bendigo (C)","Buloke (S)",26
"Persons, Place of Work","Greater Bendigo (C)","Campaspe (S)",257
"Persons, Place of Work","Greater Bendigo (C)","Cardinia (S)",3
"Persons, Place of Work","Greater Bendigo (C)","Casey (C)",18
"Persons, Place of Work","Greater Bendigo (C)","Central Goldfields (S)",82
"Persons, Place of Work","Greater Bendigo (C)","Colac-Otway (S)",0
"Persons, Place of Work","Greater Bendigo (C)","Corangamite (S)",8
"Persons, Place of Work","Greater Bendigo (C)","Darebin (C)",31
"Persons, Place of Work","Greater Bendigo (C)","East Gippsland (S)",3
"Persons, Place of Work","Greater Bendigo (C)","Frankston (C)",14
"Persons, Place of Work","Greater Bendigo (C)","Gannawarra (S)",34
"Persons, Place of Work","Greater Bendigo (C)","Glen Eira (C)",9
"Persons, Place of Work","Greater Bendigo (C)","Glenelg (S)",3
"Persons, Place of Work","Greater Bendigo (C)","Golden Plains (S)",4
"Persons, Place of Work","Greater Bendigo (C)","Greater Bendigo (C)",35113
"Persons, Place of Work","Greater Bendigo (C)","Greater Dandenong (C)",22
"Persons, Place of Work","Greater Bendigo (C)","Greater Geelong (C)",33
"Persons, Place of Work","Greater Bendigo (C)","Greater Shepparton (C)",95
"Persons, Place of Work","Greater Bendigo (C)","Hepburn (S)",21
"Persons, Place of Work","Greater Bendigo (C)","Hindmarsh (S)",6
"Persons, Place of Work","Greater Bendigo (C)","Hobsons Bay (C)",44
"Persons, Place of Work","Greater Bendigo (C)","Horsham (RC)",7
"Persons, Place of Work","Greater Bendigo (C)","Hume (C)",98
"Persons, Place of Work","Greater Bendigo (C)","Indigo (S)",0
"Persons, Place of Work","Greater Bendigo (C)","Kingston (C)",23
"Persons, Place of Work","Greater Bendigo (C)","Knox (C)",22
"Persons, Place of Work","Greater Bendigo (C)","Latrobe (C)",7
"Persons, Place of Work","Greater Bendigo (C)","Loddon (S)",326
"Persons, Place of Work","Greater Bendigo (C)","Macedon Ranges (S)",233
"Persons, Place of Work","Greater Bendigo (C)","Manningham (C)",17
"Persons, Place of Work","Greater Bendigo (C)","Mansfield (S)",5
"Persons, Place of Work","Greater Bendigo (C)","Maribyrnong (C)",20
"Persons, Place of Work","Greater Bendigo (C)","Maroondah (C)",14
"Persons, Place of Work","Greater Bendigo (C)","Melbourne (C)",366
"Persons, Place of Work","Greater Bendigo (C)","Melton (S)",19
"Persons, Place of Work","Greater Bendigo (C)","Mildura (RC)",10
"Persons, Place of Work","Greater Bendigo (C)","Mitchell (S)",169
"Persons, Place of Work","Greater Bendigo (C)","Moira (S)",12
"Persons, Place of Work","Greater Bendigo (C)","Monash (C)",47
"Persons, Place of Work","Greater Bendigo (C)","Moonee Valley (C)",17
"Persons, Place of Work","Greater Bendigo (C)","Moorabool (S)",15
"Persons, Place of Work","Greater Bendigo (C)","Moreland (C)",24
"Persons, Place of Work","Greater Bendigo (C)","Mornington Peninsula (S)",13
"Persons, Place of Work","Greater Bendigo (C)","Mount Alexander (S)",1058
"Persons, Place of Work","Greater Bendigo (C)","Moyne (S)",6
"Persons, Place of Work","Greater Bendigo (C)","Murrindindi (S)",8
"Persons, Place of Work","Greater Bendigo (C)","Nillumbik (S)",8
"Persons, Place of Work","Greater Bendigo (C)","Northern Grampians (S)",19
"Persons, Place of Work","Greater Bendigo (C)","Port Phillip (C)",44
"Persons, Place of Work","Greater Bendigo (C)","Pyrenees (S)",3
"Persons, Place of Work","Greater Bendigo (C)","Queenscliffe (B)",0
"Persons, Place of Work","Greater Bendigo (C)","South Gippsland (S)",0
"Persons, Place of Work","Greater Bendigo (C)","Southern Grampians (S)",3
"Persons, Place of Work","Greater Bendigo (C)","Stonnington (C)",30
"Persons, Place of Work","Greater Bendigo (C)","Strathbogie (S)",23
"Persons, Place of Work","Greater Bendigo (C)","Surf Coast (S)",0
"Persons, Place of Work","Greater Bendigo (C)","Swan Hill (RC)",30
"Persons, Place of Work","Greater Bendigo (C)","Towong (S)",0
"Persons, Place of Work","Greater Bendigo (C)","Wangaratta (RC)",10
"Persons, Place of Work","Greater Bendigo (C)","Warrnambool (C)",4
"Persons, Place of Work","Greater Bendigo (C)","Wellington (S)",3
"Persons, Place of Work","Greater Bendigo (C)","West Wimmera (S)",4
"Persons, Place of Work","Greater Bendigo (C)","Whitehorse (C)",37
"Persons, Place of Work","Greater Bendigo (C)","Whittlesea (C)",38
"Persons, Place of Work","Greater Bendigo (C)","Wodonga (RC)",0
"Persons, Place of Work","Greater Bendigo (C)","Wyndham (C)",36
"Persons, Place of Work","Greater Bendigo (C)","Yarra (C)",40
"Persons, Place of Work","Greater Bendigo (C)","Yarra Ranges (S)",9
"Persons, Place of Work","Greater Bendigo (C)","Yarriambiack (S)",3
"Persons, Place of Work","Greater Bendigo (C)","POW Capital city undefined (Greater Melbourne)",78
"Persons, Place of Work","Greater Bendigo (C)","Unincorporated Vic",12
"Persons, Place of Work","Greater Bendigo (C)","POW No Fixed Address (Vic.)",1671
"Persons, Place of Work","Greater Bendigo (C)","POW State/Territory undefined (Vic.)",3627
"Persons, Place of Work","Greater Dandenong (C)","Alpine (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Ararat (RC)",0
"Persons, Place of Work","Greater Dandenong (C)","Ballarat (C)",3
"Persons, Place of Work","Greater Dandenong (C)","Banyule (C)",88
"Persons, Place of Work","Greater Dandenong (C)","Bass Coast (S)",22
"Persons, Place of Work","Greater Dandenong (C)","Baw Baw (S)",26
"Persons, Place of Work","Greater Dandenong (C)","Bayside (C)",730
"Persons, Place of Work","Greater Dandenong (C)","Benalla (RC)",3
"Persons, Place of Work","Greater Dandenong (C)","Boroondara (C)",673
"Persons, Place of Work","Greater Dandenong (C)","Brimbank (C)",124
"Persons, Place of Work","Greater Dandenong (C)","Buloke (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Campaspe (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Cardinia (S)",180
"Persons, Place of Work","Greater Dandenong (C)","Casey (C)",2041
"Persons, Place of Work","Greater Dandenong (C)","Central Goldfields (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Colac-Otway (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Corangamite (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Darebin (C)",134
"Persons, Place of Work","Greater Dandenong (C)","East Gippsland (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Frankston (C)",878
"Persons, Place of Work","Greater Dandenong (C)","Gannawarra (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Glen Eira (C)",1114
"Persons, Place of Work","Greater Dandenong (C)","Glenelg (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Golden Plains (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Greater Bendigo (C)",3
"Persons, Place of Work","Greater Dandenong (C)","Greater Dandenong (C)",15038
"Persons, Place of Work","Greater Dandenong (C)","Greater Geelong (C)",29
"Persons, Place of Work","Greater Dandenong (C)","Greater Shepparton (C)",3
"Persons, Place of Work","Greater Dandenong (C)","Hepburn (S)",10
"Persons, Place of Work","Greater Dandenong (C)","Hindmarsh (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Hobsons Bay (C)",149
"Persons, Place of Work","Greater Dandenong (C)","Horsham (RC)",0
"Persons, Place of Work","Greater Dandenong (C)","Hume (C)",126
"Persons, Place of Work","Greater Dandenong (C)","Indigo (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Kingston (C)",5920
"Persons, Place of Work","Greater Dandenong (C)","Knox (C)",1667
"Persons, Place of Work","Greater Dandenong (C)","Latrobe (C)",17
"Persons, Place of Work","Greater Dandenong (C)","Loddon (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Macedon Ranges (S)",3
"Persons, Place of Work","Greater Dandenong (C)","Manningham (C)",159
"Persons, Place of Work","Greater Dandenong (C)","Mansfield (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Maribyrnong (C)",120
"Persons, Place of Work","Greater Dandenong (C)","Maroondah (C)",481
"Persons, Place of Work","Greater Dandenong (C)","Melbourne (C)",4168
"Persons, Place of Work","Greater Dandenong (C)","Melton (S)",26
"Persons, Place of Work","Greater Dandenong (C)","Mildura (RC)",0
"Persons, Place of Work","Greater Dandenong (C)","Mitchell (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Moira (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Monash (C)",5756
"Persons, Place of Work","Greater Dandenong (C)","Moonee Valley (C)",46
"Persons, Place of Work","Greater Dandenong (C)","Moorabool (S)",9
"Persons, Place of Work","Greater Dandenong (C)","Moreland (C)",83
"Persons, Place of Work","Greater Dandenong (C)","Mornington Peninsula (S)",305
"Persons, Place of Work","Greater Dandenong (C)","Mount Alexander (S)",6
"Persons, Place of Work","Greater Dandenong (C)","Moyne (S)",3
"Persons, Place of Work","Greater Dandenong (C)","Murrindindi (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Nillumbik (S)",8
"Persons, Place of Work","Greater Dandenong (C)","Northern Grampians (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Port Phillip (C)",823
"Persons, Place of Work","Greater Dandenong (C)","Pyrenees (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Queenscliffe (B)",0
"Persons, Place of Work","Greater Dandenong (C)","South Gippsland (S)",7
"Persons, Place of Work","Greater Dandenong (C)","Southern Grampians (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Stonnington (C)",1017
"Persons, Place of Work","Greater Dandenong (C)","Strathbogie (S)",3
"Persons, Place of Work","Greater Dandenong (C)","Surf Coast (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Swan Hill (RC)",0
"Persons, Place of Work","Greater Dandenong (C)","Towong (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Wangaratta (RC)",0
"Persons, Place of Work","Greater Dandenong (C)","Warrnambool (C)",0
"Persons, Place of Work","Greater Dandenong (C)","Wellington (S)",0
"Persons, Place of Work","Greater Dandenong (C)","West Wimmera (S)",0
"Persons, Place of Work","Greater Dandenong (C)","Whitehorse (C)",1057
"Persons, Place of Work","Greater Dandenong (C)","Whittlesea (C)",90
"Persons, Place of Work","Greater Dandenong (C)","Wodonga (RC)",0
"Persons, Place of Work","Greater Dandenong (C)","Wyndham (C)",83
"Persons, Place of Work","Greater Dandenong (C)","Yarra (C)",733
"Persons, Place of Work","Greater Dandenong (C)","Yarra Ranges (S)",191
"Persons, Place of Work","Greater Dandenong (C)","Yarriambiack (S)",0
"Persons, Place of Work","Greater Dandenong (C)","POW Capital city undefined (Greater Melbourne)",2198
"Persons, Place of Work","Greater Dandenong (C)","Unincorporated Vic",5
"Persons, Place of Work","Greater Dandenong (C)","POW No Fixed Address (Vic.)",1818
"Persons, Place of Work","Greater Dandenong (C)","POW State/Territory undefined (Vic.)",2605
"Persons, Place of Work","Greater Geelong (C)","Alpine (S)",0
"Persons, Place of Work","Greater Geelong (C)","Ararat (RC)",21
"Persons, Place of Work","Greater Geelong (C)","Ballarat (C)",204
"Persons, Place of Work","Greater Geelong (C)","Banyule (C)",50
"Persons, Place of Work","Greater Geelong (C)","Bass Coast (S)",80
"Persons, Place of Work","Greater Geelong (C)","Baw Baw (S)",7
"Persons, Place of Work","Greater Geelong (C)","Bayside (C)",37
"Persons, Place of Work","Greater Geelong (C)","Benalla (RC)",0
"Persons, Place of Work","Greater Geelong (C)","Boroondara (C)",173
"Persons, Place of Work","Greater Geelong (C)","Brimbank (C)",724
"Persons, Place of Work","Greater Geelong (C)","Buloke (S)",0
"Persons, Place of Work","Greater Geelong (C)","Campaspe (S)",13
"Persons, Place of Work","Greater Geelong (C)","Cardinia (S)",5
"Persons, Place of Work","Greater Geelong (C)","Casey (C)",34
"Persons, Place of Work","Greater Geelong (C)","Central Goldfields (S)",8
"Persons, Place of Work","Greater Geelong (C)","Colac-Otway (S)",207
"Persons, Place of Work","Greater Geelong (C)","Corangamite (S)",29
"Persons, Place of Work","Greater Geelong (C)","Darebin (C)",86
"Persons, Place of Work","Greater Geelong (C)","East Gippsland (S)",6
"Persons, Place of Work","Greater Geelong (C)","Frankston (C)",23
"Persons, Place of Work","Greater Geelong (C)","Gannawarra (S)",3
"Persons, Place of Work","Greater Geelong (C)","Glen Eira (C)",44
"Persons, Place of Work","Greater Geelong (C)","Glenelg (S)",27
"Persons, Place of Work","Greater Geelong (C)","Golden Plains (S)",405
"Persons, Place of Work","Greater Geelong (C)","Greater Bendigo (C)",27
"Persons, Place of Work","Greater Geelong (C)","Greater Dandenong (C)",109
"Persons, Place of Work","Greater Geelong (C)","Greater Geelong (C)",67190
"Persons, Place of Work","Greater Geelong (C)","Greater Shepparton (C)",7
"Persons, Place of Work","Greater Geelong (C)","Hepburn (S)",14
"Persons, Place of Work","Greater Geelong (C)","Hindmarsh (S)",0
"Persons, Place of Work","Greater Geelong (C)","Hobsons Bay (C)",868
"Persons, Place of Work","Greater Geelong (C)","Horsham (RC)",11
"Persons, Place of Work","Greater Geelong (C)","Hume (C)",453
"Persons, Place of Work","Greater Geelong (C)","Indigo (S)",0
"Persons, Place of Work","Greater Geelong (C)","Kingston (C)",98
"Persons, Place of Work","Greater Geelong (C)","Knox (C)",49
"Persons, Place of Work","Greater Geelong (C)","Latrobe (C)",11
"Persons, Place of Work","Greater Geelong (C)","Loddon (S)",0
"Persons, Place of Work","Greater Geelong (C)","Macedon Ranges (S)",13
"Persons, Place of Work","Greater Geelong (C)","Manningham (C)",27
"Persons, Place of Work","Greater Geelong (C)","Mansfield (S)",3
"Persons, Place of Work","Greater Geelong (C)","Maribyrnong (C)",368
"Persons, Place of Work","Greater Geelong (C)","Maroondah (C)",25
"Persons, Place of Work","Greater Geelong (C)","Melbourne (C)",4154
"Persons, Place of Work","Greater Geelong (C)","Melton (S)",174
"Persons, Place of Work","Greater Geelong (C)","Mildura (RC)",5
"Persons, Place of Work","Greater Geelong (C)","Mitchell (S)",11
"Persons, Place of Work","Greater Geelong (C)","Moira (S)",8
"Persons, Place of Work","Greater Geelong (C)","Monash (C)",214
"Persons, Place of Work","Greater Geelong (C)","Moonee Valley (C)",153
"Persons, Place of Work","Greater Geelong (C)","Moorabool (S)",134
"Persons, Place of Work","Greater Geelong (C)","Moreland (C)",95
"Persons, Place of Work","Greater Geelong (C)","Mornington Peninsula (S)",26
"Persons, Place of Work","Greater Geelong (C)","Mount Alexander (S)",3
"Persons, Place of Work","Greater Geelong (C)","Moyne (S)",15
"Persons, Place of Work","Greater Geelong (C)","Murrindindi (S)",10
"Persons, Place of Work","Greater Geelong (C)","Nillumbik (S)",8
"Persons, Place of Work","Greater Geelong (C)","Northern Grampians (S)",10
"Persons, Place of Work","Greater Geelong (C)","Port Phillip (C)",543
"Persons, Place of Work","Greater Geelong (C)","Pyrenees (S)",0
"Persons, Place of Work","Greater Geelong (C)","Queenscliffe (B)",761
"Persons, Place of Work","Greater Geelong (C)","South Gippsland (S)",4
"Persons, Place of Work","Greater Geelong (C)","Southern Grampians (S)",8
"Persons, Place of Work","Greater Geelong (C)","Stonnington (C)",153
"Persons, Place of Work","Greater Geelong (C)","Strathbogie (S)",4
"Persons, Place of Work","Greater Geelong (C)","Surf Coast (S)",1656
"Persons, Place of Work","Greater Geelong (C)","Swan Hill (RC)",4
"Persons, Place of Work","Greater Geelong (C)","Towong (S)",0
"Persons, Place of Work","Greater Geelong (C)","Wangaratta (RC)",4
"Persons, Place of Work","Greater Geelong (C)","Warrnambool (C)",31
"Persons, Place of Work","Greater Geelong (C)","Wellington (S)",7
"Persons, Place of Work","Greater Geelong (C)","West Wimmera (S)",0
"Persons, Place of Work","Greater Geelong (C)","Whitehorse (C)",122
"Persons, Place of Work","Greater Geelong (C)","Whittlesea (C)",82
"Persons, Place of Work","Greater Geelong (C)","Wodonga (RC)",0
"Persons, Place of Work","Greater Geelong (C)","Wyndham (C)",2049
"Persons, Place of Work","Greater Geelong (C)","Yarra (C)",379
"Persons, Place of Work","Greater Geelong (C)","Yarra Ranges (S)",12
"Persons, Place of Work","Greater Geelong (C)","Yarriambiack (S)",7
"Persons, Place of Work","Greater Geelong (C)","POW Capital city undefined (Greater Melbourne)",640
"Persons, Place of Work","Greater Geelong (C)","Unincorporated Vic",38
"Persons, Place of Work","Greater Geelong (C)","POW No Fixed Address (Vic.)",3902
"Persons, Place of Work","Greater Geelong (C)","POW State/Territory undefined (Vic.)",5341
"Persons, Place of Work","Greater Shepparton (C)","Alpine (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Ararat (RC)",0
"Persons, Place of Work","Greater Shepparton (C)","Ballarat (C)",0
"Persons, Place of Work","Greater Shepparton (C)","Banyule (C)",0
"Persons, Place of Work","Greater Shepparton (C)","Bass Coast (S)",3
"Persons, Place of Work","Greater Shepparton (C)","Baw Baw (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Bayside (C)",3
"Persons, Place of Work","Greater Shepparton (C)","Benalla (RC)",71
"Persons, Place of Work","Greater Shepparton (C)","Boroondara (C)",10
"Persons, Place of Work","Greater Shepparton (C)","Brimbank (C)",8
"Persons, Place of Work","Greater Shepparton (C)","Buloke (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Campaspe (S)",441
"Persons, Place of Work","Greater Shepparton (C)","Cardinia (S)",5
"Persons, Place of Work","Greater Shepparton (C)","Casey (C)",5
"Persons, Place of Work","Greater Shepparton (C)","Central Goldfields (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Colac-Otway (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Corangamite (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Darebin (C)",7
"Persons, Place of Work","Greater Shepparton (C)","East Gippsland (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Frankston (C)",3
"Persons, Place of Work","Greater Shepparton (C)","Gannawarra (S)",3
"Persons, Place of Work","Greater Shepparton (C)","Glen Eira (C)",3
"Persons, Place of Work","Greater Shepparton (C)","Glenelg (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Golden Plains (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Greater Bendigo (C)",23
"Persons, Place of Work","Greater Shepparton (C)","Greater Dandenong (C)",13
"Persons, Place of Work","Greater Shepparton (C)","Greater Geelong (C)",5
"Persons, Place of Work","Greater Shepparton (C)","Greater Shepparton (C)",21579
"Persons, Place of Work","Greater Shepparton (C)","Hepburn (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Hindmarsh (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Hobsons Bay (C)",8
"Persons, Place of Work","Greater Shepparton (C)","Horsham (RC)",0
"Persons, Place of Work","Greater Shepparton (C)","Hume (C)",16
"Persons, Place of Work","Greater Shepparton (C)","Indigo (S)",4
"Persons, Place of Work","Greater Shepparton (C)","Kingston (C)",7
"Persons, Place of Work","Greater Shepparton (C)","Knox (C)",3
"Persons, Place of Work","Greater Shepparton (C)","Latrobe (C)",0
"Persons, Place of Work","Greater Shepparton (C)","Loddon (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Macedon Ranges (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Manningham (C)",0
"Persons, Place of Work","Greater Shepparton (C)","Mansfield (S)",3
"Persons, Place of Work","Greater Shepparton (C)","Maribyrnong (C)",3
"Persons, Place of Work","Greater Shepparton (C)","Maroondah (C)",0
"Persons, Place of Work","Greater Shepparton (C)","Melbourne (C)",61
"Persons, Place of Work","Greater Shepparton (C)","Melton (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Mildura (RC)",0
"Persons, Place of Work","Greater Shepparton (C)","Mitchell (S)",54
"Persons, Place of Work","Greater Shepparton (C)","Moira (S)",341
"Persons, Place of Work","Greater Shepparton (C)","Monash (C)",12
"Persons, Place of Work","Greater Shepparton (C)","Moonee Valley (C)",6
"Persons, Place of Work","Greater Shepparton (C)","Moorabool (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Moreland (C)",0
"Persons, Place of Work","Greater Shepparton (C)","Mornington Peninsula (S)",5
"Persons, Place of Work","Greater Shepparton (C)","Mount Alexander (S)",3
"Persons, Place of Work","Greater Shepparton (C)","Moyne (S)",3
"Persons, Place of Work","Greater Shepparton (C)","Murrindindi (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Nillumbik (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Northern Grampians (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Port Phillip (C)",6
"Persons, Place of Work","Greater Shepparton (C)","Pyrenees (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Queenscliffe (B)",0
"Persons, Place of Work","Greater Shepparton (C)","South Gippsland (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Southern Grampians (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Stonnington (C)",3
"Persons, Place of Work","Greater Shepparton (C)","Strathbogie (S)",136
"Persons, Place of Work","Greater Shepparton (C)","Surf Coast (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Swan Hill (RC)",0
"Persons, Place of Work","Greater Shepparton (C)","Towong (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Wangaratta (RC)",17
"Persons, Place of Work","Greater Shepparton (C)","Warrnambool (C)",3
"Persons, Place of Work","Greater Shepparton (C)","Wellington (S)",6
"Persons, Place of Work","Greater Shepparton (C)","West Wimmera (S)",0
"Persons, Place of Work","Greater Shepparton (C)","Whitehorse (C)",4
"Persons, Place of Work","Greater Shepparton (C)","Whittlesea (C)",3
"Persons, Place of Work","Greater Shepparton (C)","Wodonga (RC)",11
"Persons, Place of Work","Greater Shepparton (C)","Wyndham (C)",6
"Persons, Place of Work","Greater Shepparton (C)","Yarra (C)",8
"Persons, Place of Work","Greater Shepparton (C)","Yarra Ranges (S)",3
"Persons, Place of Work","Greater Shepparton (C)","Yarriambiack (S)",0
"Persons, Place of Work","Greater Shepparton (C)","POW Capital city undefined (Greater Melbourne)",9
"Persons, Place of Work","Greater Shepparton (C)","Unincorporated Vic",3
"Persons, Place of Work","Greater Shepparton (C)","POW No Fixed Address (Vic.)",668
"Persons, Place of Work","Greater Shepparton (C)","POW State/Territory undefined (Vic.)",2078
"Persons, Place of Work","Hepburn (S)","Alpine (S)",0
"Persons, Place of Work","Hepburn (S)","Ararat (RC)",12
"Persons, Place of Work","Hepburn (S)","Ballarat (C)",1225
"Persons, Place of Work","Hepburn (S)","Banyule (C)",6
"Persons, Place of Work","Hepburn (S)","Bass Coast (S)",0
"Persons, Place of Work","Hepburn (S)","Baw Baw (S)",0
"Persons, Place of Work","Hepburn (S)","Bayside (C)",3
"Persons, Place of Work","Hepburn (S)","Benalla (RC)",0
"Persons, Place of Work","Hepburn (S)","Boroondara (C)",19
"Persons, Place of Work","Hepburn (S)","Brimbank (C)",37
"Persons, Place of Work","Hepburn (S)","Buloke (S)",0
"Persons, Place of Work","Hepburn (S)","Campaspe (S)",0
"Persons, Place of Work","Hepburn (S)","Cardinia (S)",0
"Persons, Place of Work","Hepburn (S)","Casey (C)",4
"Persons, Place of Work","Hepburn (S)","Central Goldfields (S)",65
"Persons, Place of Work","Hepburn (S)","Colac-Otway (S)",3
"Persons, Place of Work","Hepburn (S)","Corangamite (S)",0
"Persons, Place of Work","Hepburn (S)","Darebin (C)",14
"Persons, Place of Work","Hepburn (S)","East Gippsland (S)",0
"Persons, Place of Work","Hepburn (S)","Frankston (C)",4
"Persons, Place of Work","Hepburn (S)","Gannawarra (S)",0
"Persons, Place of Work","Hepburn (S)","Glen Eira (C)",5
"Persons, Place of Work","Hepburn (S)","Glenelg (S)",0
"Persons, Place of Work","Hepburn (S)","Golden Plains (S)",8
"Persons, Place of Work","Hepburn (S)","Greater Bendigo (C)",49
"Persons, Place of Work","Hepburn (S)","Greater Dandenong (C)",3
"Persons, Place of Work","Hepburn (S)","Greater Geelong (C)",23
"Persons, Place of Work","Hepburn (S)","Greater Shepparton (C)",0
"Persons, Place of Work","Hepburn (S)","Hepburn (S)",2907
"Persons, Place of Work","Hepburn (S)","Hindmarsh (S)",0
"Persons, Place of Work","Hepburn (S)","Hobsons Bay (C)",19
"Persons, Place of Work","Hepburn (S)","Horsham (RC)",0
"Persons, Place of Work","Hepburn (S)","Hume (C)",41
"Persons, Place of Work","Hepburn (S)","Indigo (S)",0
"Persons, Place of Work","Hepburn (S)","Kingston (C)",7
"Persons, Place of Work","Hepburn (S)","Knox (C)",4
"Persons, Place of Work","Hepburn (S)","Latrobe (C)",0
"Persons, Place of Work","Hepburn (S)","Loddon (S)",0
"Persons, Place of Work","Hepburn (S)","Macedon Ranges (S)",196
"Persons, Place of Work","Hepburn (S)","Manningham (C)",0
"Persons, Place of Work","Hepburn (S)","Mansfield (S)",0
"Persons, Place of Work","Hepburn (S)","Maribyrnong (C)",15
"Persons, Place of Work","Hepburn (S)","Maroondah (C)",0
"Persons, Place of Work","Hepburn (S)","Melbourne (C)",224
"Persons, Place of Work","Hepburn (S)","Melton (S)",19
"Persons, Place of Work","Hepburn (S)","Mildura (RC)",0
"Persons, Place of Work","Hepburn (S)","Mitchell (S)",3
"Persons, Place of Work","Hepburn (S)","Moira (S)",0
"Persons, Place of Work","Hepburn (S)","Monash (C)",13
"Persons, Place of Work","Hepburn (S)","Moonee Valley (C)",8
"Persons, Place of Work","Hepburn (S)","Moorabool (S)",64
"Persons, Place of Work","Hepburn (S)","Moreland (C)",17
"Persons, Place of Work","Hepburn (S)","Mornington Peninsula (S)",0
"Persons, Place of Work","Hepburn (S)","Mount Alexander (S)",109
"Persons, Place of Work","Hepburn (S)","Moyne (S)",0
"Persons, Place of Work","Hepburn (S)","Murrindindi (S)",0
"Persons, Place of Work","Hepburn (S)","Nillumbik (S)",0
"Persons, Place of Work","Hepburn (S)","Northern Grampians (S)",0
"Persons, Place of Work","Hepburn (S)","Port Phillip (C)",36
