Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LGA (UR) by LGA (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","LGA (UR)","LGA (POW)","Count",
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Surf Coast (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Swan Hill (RC)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Towong (S)",18
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Wangaratta (RC)",287
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Warrnambool (C)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Wellington (S)",6
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","West Wimmera (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Whitehorse (C)",3
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Whittlesea (C)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Wodonga (C)",148
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Wyndham (C)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Yarra (C)",14
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Yarra Ranges (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Yarriambiack (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Unincorporated Vic",228
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","No Fixed Address (Vic.)",272
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Alpine (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Ararat (RC)",3841
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Ballarat (C)",54
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Banyule (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Bass Coast (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Baw Baw (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Bayside (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Benalla (RC)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Boroondara (C)",5
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Brimbank (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Buloke (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Campaspe (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Cardinia (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Casey (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Central Goldfields (S)",4
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Colac-Otway (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Corangamite (S)",17
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Darebin (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","East Gippsland (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Frankston (C)",5
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Gannawarra (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Glen Eira (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Glenelg (S)",5
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Golden Plains (S)",4
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Greater Bendigo (C)",5
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Greater Dandenong (C)",6
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Greater Geelong (C)",14
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Greater Shepparton (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Hepburn (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Hindmarsh (S)",3
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Hobsons Bay (C)",10
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Horsham (RC)",15
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Hume (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Indigo (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Kingston (C)",4
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Knox (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Latrobe (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Loddon (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Macedon Ranges (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Manningham (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Mansfield (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Maribyrnong (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Maroondah (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Melbourne (C)",27
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Melton (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Mildura (RC)",3
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Mitchell (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Moira (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Monash (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Moonee Valley (C)",4
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Moorabool (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Moreland (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Mornington Peninsula (S)",4
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Mount Alexander (S)",0
