Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"STATE and Local Government Areas (2011 Boundaries) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"

"Counting","STATE","Local Government Areas (2011 Boundaries) (POW)","Count",
"Persons, Place of Work","Victoria","Golden Plains (S)",2769
"Persons, Place of Work","Victoria","Greater Bendigo (C)",37808
"Persons, Place of Work","Victoria","Greater Dandenong (C)",76321
"Persons, Place of Work","Victoria","Greater Geelong (C)",78903
"Persons, Place of Work","Victoria","Greater Shepparton (C)",24901
"Persons, Place of Work","Victoria","Hepburn (S)",4101
"Persons, Place of Work","Victoria","Hindmarsh (S)",2143
"Persons, Place of Work","Victoria","Hobsons Bay (C)",31349
"Persons, Place of Work","Victoria","Horsham (RC)",8403
"Persons, Place of Work","Victoria","Hume (C)",71477
"Persons, Place of Work","Victoria","Indigo (S)",3986
"Persons, Place of Work","Victoria","Kingston (C)",66257
"Persons, Place of Work","Victoria","Knox (C)",56316
"Persons, Place of Work","Victoria","Latrobe (C)",25783
"Persons, Place of Work","Victoria","Loddon (S)",2485
"Persons, Place of Work","Victoria","Macedon Ranges (S)",10589
"Persons, Place of Work","Victoria","Manningham (C)",24123
"Persons, Place of Work","Victoria","Mansfield (S)",3020
"Persons, Place of Work","Victoria","Maribyrnong (C)",30040
"Persons, Place of Work","Victoria","Maroondah (C)",36207
"Persons, Place of Work","Victoria","Melbourne (C)",357578
"Persons, Place of Work","Victoria","Melton (S)",16270
"Persons, Place of Work","Victoria","Mildura (RC)",17665
"Persons, Place of Work","Victoria","Mitchell (S)",9479
"Persons, Place of Work","Victoria","Moira (S)",8257
"Persons, Place of Work","Victoria","Monash (C)",89321
"Persons, Place of Work","Victoria","Moonee Valley (C)",30615
"Persons, Place of Work","Victoria","Moorabool (S)",6072
"Persons, Place of Work","Victoria","Moreland (C)",32022
"Persons, Place of Work","Victoria","Mornington Peninsula (S)",42330
"Persons, Place of Work","Victoria","Mount Alexander (S)",6114
"Persons, Place of Work","Victoria","Moyne (S)",5866
"Persons, Place of Work","Victoria","Murrindindi (S)",4099
"Persons, Place of Work","Victoria","Nillumbik (S)",11605
"Persons, Place of Work","Victoria","Northern Grampians (S)",4766
"Persons, Place of Work","Victoria","Port Phillip (C)",63431
"Persons, Place of Work","Victoria","Pyrenees (S)",1683
"Persons, Place of Work","Victoria","Queenscliffe (B)",1310
"Persons, Place of Work","Victoria","South Gippsland (S)",10066
"Persons, Place of Work","Victoria","Southern Grampians (S)",6902
"Persons, Place of Work","Victoria","Stonnington (C)",45317
"Persons, Place of Work","Victoria","Strathbogie (S)",3085
"Persons, Place of Work","Victoria","Surf Coast (S)",7126
"Persons, Place of Work","Victoria","Swan Hill (RC)",7531
"Persons, Place of Work","Victoria","Towong (S)",1838
"Persons, Place of Work","Victoria","Wangaratta (RC)",11096
"Persons, Place of Work","Victoria","Warrnambool (C)",13321
"Persons, Place of Work","Victoria","Wellington (S)",14216
"Persons, Place of Work","Victoria","West Wimmera (S)",1621
"Persons, Place of Work","Victoria","Whitehorse (C)",61204
"Persons, Place of Work","Victoria","Whittlesea (C)",39209
"Persons, Place of Work","Victoria","Wodonga (RC)",11496
"Persons, Place of Work","Victoria","Wyndham (C)",43268
"Persons, Place of Work","Victoria","Yarra (C)",67206
"Persons, Place of Work","Victoria","Yarra Ranges (S)",36213
"Persons, Place of Work","Victoria","Yarriambiack (S)",2538
"Persons, Place of Work","Victoria","POW Capital city undefined (Greater Melbourne)",60988
"Persons, Place of Work","Victoria","Unincorporated Vic",1722
"Persons, Place of Work","Victoria","POW No Fixed Address (Vic.)",93712
"Persons, Place of Work","Victoria","POW State/Territory undefined (Vic.)",99642
"Persons, Place of Work","Queensland","Alpine (S)",9
"Persons, Place of Work","Queensland","Ararat (RC)",3
"Persons, Place of Work","Queensland","Ballarat (C)",35
"Persons, Place of Work","Queensland","Banyule (C)",40
"Persons, Place of Work","Queensland","Bass Coast (S)",43
"Persons, Place of Work","Queensland","Baw Baw (S)",13
"Persons, Place of Work","Queensland","Bayside (C)",20
"Persons, Place of Work","Queensland","Benalla (RC)",3
"Persons, Place of Work","Queensland","Boroondara (C)",73
"Persons, Place of Work","Queensland","Brimbank (C)",48
"Persons, Place of Work","Queensland","Buloke (S)",7
"Persons, Place of Work","Queensland","Campaspe (S)",9
"Persons, Place of Work","Queensland","Cardinia (S)",8
"Persons, Place of Work","Queensland","Casey (C)",21
"Persons, Place of Work","Queensland","Central Goldfields (S)",3
"Persons, Place of Work","Queensland","Colac-Otway (S)",5
"Persons, Place of Work","Queensland","Corangamite (S)",3
"Persons, Place of Work","Queensland","Darebin (C)",31
"Persons, Place of Work","Queensland","East Gippsland (S)",7
"Persons, Place of Work","Queensland","Frankston (C)",30
"Persons, Place of Work","Queensland","Gannawarra (S)",0
"Persons, Place of Work","Queensland","Glen Eira (C)",27
"Persons, Place of Work","Queensland","Glenelg (S)",0
"Persons, Place of Work","Queensland","Golden Plains (S)",0
"Persons, Place of Work","Queensland","Greater Bendigo (C)",30
"Persons, Place of Work","Queensland","Greater Dandenong (C)",70
"Persons, Place of Work","Queensland","Greater Geelong (C)",63
"Persons, Place of Work","Queensland","Greater Shepparton (C)",17
"Persons, Place of Work","Queensland","Hepburn (S)",6
"Persons, Place of Work","Queensland","Hindmarsh (S)",0
"Persons, Place of Work","Queensland","Hobsons Bay (C)",33
"Persons, Place of Work","Queensland","Horsham (RC)",7
"Persons, Place of Work","Queensland","Hume (C)",91
"Persons, Place of Work","Queensland","Indigo (S)",4
"Persons, Place of Work","Queensland","Kingston (C)",72
"Persons, Place of Work","Queensland","Knox (C)",80
"Persons, Place of Work","Queensland","Latrobe (C)",6
"Persons, Place of Work","Queensland","Loddon (S)",0
"Persons, Place of Work","Queensland","Macedon Ranges (S)",9
"Persons, Place of Work","Queensland","Manningham (C)",22
"Persons, Place of Work","Queensland","Mansfield (S)",4
"Persons, Place of Work","Queensland","Maribyrnong (C)",28
"Persons, Place of Work","Queensland","Maroondah (C)",19
"Persons, Place of Work","Queensland","Melbourne (C)",617
