Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"STATE and Local Government Areas (2011 Boundaries) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"

"Counting","STATE","Local Government Areas (2011 Boundaries) (POW)","Count",
"Persons, Place of Work","Tasmania","Mount Alexander (S)",0
"Persons, Place of Work","Tasmania","Moyne (S)",0
"Persons, Place of Work","Tasmania","Murrindindi (S)",0
"Persons, Place of Work","Tasmania","Nillumbik (S)",0
"Persons, Place of Work","Tasmania","Northern Grampians (S)",0
"Persons, Place of Work","Tasmania","Port Phillip (C)",26
"Persons, Place of Work","Tasmania","Pyrenees (S)",0
"Persons, Place of Work","Tasmania","Queenscliffe (B)",0
"Persons, Place of Work","Tasmania","South Gippsland (S)",0
"Persons, Place of Work","Tasmania","Southern Grampians (S)",0
"Persons, Place of Work","Tasmania","Stonnington (C)",17
"Persons, Place of Work","Tasmania","Strathbogie (S)",0
"Persons, Place of Work","Tasmania","Surf Coast (S)",0
"Persons, Place of Work","Tasmania","Swan Hill (RC)",0
"Persons, Place of Work","Tasmania","Towong (S)",0
"Persons, Place of Work","Tasmania","Wangaratta (RC)",0
"Persons, Place of Work","Tasmania","Warrnambool (C)",0
"Persons, Place of Work","Tasmania","Wellington (S)",0
"Persons, Place of Work","Tasmania","West Wimmera (S)",0
"Persons, Place of Work","Tasmania","Whitehorse (C)",16
"Persons, Place of Work","Tasmania","Whittlesea (C)",5
"Persons, Place of Work","Tasmania","Wodonga (RC)",9
"Persons, Place of Work","Tasmania","Wyndham (C)",3
"Persons, Place of Work","Tasmania","Yarra (C)",12
"Persons, Place of Work","Tasmania","Yarra Ranges (S)",11
"Persons, Place of Work","Tasmania","Yarriambiack (S)",0
"Persons, Place of Work","Tasmania","POW Capital city undefined (Greater Melbourne)",46
"Persons, Place of Work","Tasmania","Unincorporated Vic",22
"Persons, Place of Work","Tasmania","POW No Fixed Address (Vic.)",46
"Persons, Place of Work","Tasmania","POW State/Territory undefined (Vic.)",62
"Persons, Place of Work","Northern Territory","Alpine (S)",0
"Persons, Place of Work","Northern Territory","Ararat (RC)",0
"Persons, Place of Work","Northern Territory","Ballarat (C)",0
"Persons, Place of Work","Northern Territory","Banyule (C)",5
"Persons, Place of Work","Northern Territory","Bass Coast (S)",0
"Persons, Place of Work","Northern Territory","Baw Baw (S)",0
"Persons, Place of Work","Northern Territory","Bayside (C)",0
"Persons, Place of Work","Northern Territory","Benalla (RC)",0
"Persons, Place of Work","Northern Territory","Boroondara (C)",3
"Persons, Place of Work","Northern Territory","Brimbank (C)",0
"Persons, Place of Work","Northern Territory","Buloke (S)",0
"Persons, Place of Work","Northern Territory","Campaspe (S)",3
"Persons, Place of Work","Northern Territory","Cardinia (S)",4
"Persons, Place of Work","Northern Territory","Casey (C)",4
"Persons, Place of Work","Northern Territory","Central Goldfields (S)",0
"Persons, Place of Work","Northern Territory","Colac-Otway (S)",0
"Persons, Place of Work","Northern Territory","Corangamite (S)",0
"Persons, Place of Work","Northern Territory","Darebin (C)",0
"Persons, Place of Work","Northern Territory","East Gippsland (S)",3
"Persons, Place of Work","Northern Territory","Frankston (C)",5
"Persons, Place of Work","Northern Territory","Gannawarra (S)",0
"Persons, Place of Work","Northern Territory","Glen Eira (C)",3
"Persons, Place of Work","Northern Territory","Glenelg (S)",3
"Persons, Place of Work","Northern Territory","Golden Plains (S)",0
"Persons, Place of Work","Northern Territory","Greater Bendigo (C)",3
"Persons, Place of Work","Northern Territory","Greater Dandenong (C)",0
"Persons, Place of Work","Northern Territory","Greater Geelong (C)",3
"Persons, Place of Work","Northern Territory","Greater Shepparton (C)",3
"Persons, Place of Work","Northern Territory","Hepburn (S)",5
"Persons, Place of Work","Northern Territory","Hindmarsh (S)",0
"Persons, Place of Work","Northern Territory","Hobsons Bay (C)",0
"Persons, Place of Work","Northern Territory","Horsham (RC)",0
"Persons, Place of Work","Northern Territory","Hume (C)",7
"Persons, Place of Work","Northern Territory","Indigo (S)",0
"Persons, Place of Work","Northern Territory","Kingston (C)",0
"Persons, Place of Work","Northern Territory","Knox (C)",7
"Persons, Place of Work","Northern Territory","Latrobe (C)",0
"Persons, Place of Work","Northern Territory","Loddon (S)",0
"Persons, Place of Work","Northern Territory","Macedon Ranges (S)",0
"Persons, Place of Work","Northern Territory","Manningham (C)",0
"Persons, Place of Work","Northern Territory","Mansfield (S)",0
"Persons, Place of Work","Northern Territory","Maribyrnong (C)",0
"Persons, Place of Work","Northern Territory","Maroondah (C)",0
"Persons, Place of Work","Northern Territory","Melbourne (C)",34
"Persons, Place of Work","Northern Territory","Melton (S)",0
"Persons, Place of Work","Northern Territory","Mildura (RC)",0
"Persons, Place of Work","Northern Territory","Mitchell (S)",4
"Persons, Place of Work","Northern Territory","Moira (S)",0
"Persons, Place of Work","Northern Territory","Monash (C)",7
"Persons, Place of Work","Northern Territory","Moonee Valley (C)",0
"Persons, Place of Work","Northern Territory","Moorabool (S)",0
"Persons, Place of Work","Northern Territory","Moreland (C)",3
"Persons, Place of Work","Northern Territory","Mornington Peninsula (S)",28
"Persons, Place of Work","Northern Territory","Mount Alexander (S)",0
"Persons, Place of Work","Northern Territory","Moyne (S)",0
"Persons, Place of Work","Northern Territory","Murrindindi (S)",0
"Persons, Place of Work","Northern Territory","Nillumbik (S)",0
"Persons, Place of Work","Northern Territory","Northern Grampians (S)",0
"Persons, Place of Work","Northern Territory","Port Phillip (C)",4
"Persons, Place of Work","Northern Territory","Pyrenees (S)",0
"Persons, Place of Work","Northern Territory","Queenscliffe (B)",0
"Persons, Place of Work","Northern Territory","South Gippsland (S)",4
"Persons, Place of Work","Northern Territory","Southern Grampians (S)",0
"Persons, Place of Work","Northern Territory","Stonnington (C)",0
"Persons, Place of Work","Northern Territory","Strathbogie (S)",0
"Persons, Place of Work","Northern Territory","Surf Coast (S)",3
"Persons, Place of Work","Northern Territory","Swan Hill (RC)",0
"Persons, Place of Work","Northern Territory","Towong (S)",0
"Persons, Place of Work","Northern Territory","Wangaratta (RC)",0
"Persons, Place of Work","Northern Territory","Warrnambool (C)",0
"Persons, Place of Work","Northern Territory","Wellington (S)",0
"Persons, Place of Work","Northern Territory","West Wimmera (S)",0
"Persons, Place of Work","Northern Territory","Whitehorse (C)",0
"Persons, Place of Work","Northern Territory","Whittlesea (C)",3
"Persons, Place of Work","Northern Territory","Wodonga (RC)",9
"Persons, Place of Work","Northern Territory","Wyndham (C)",3
"Persons, Place of Work","Northern Territory","Yarra (C)",9
"Persons, Place of Work","Northern Territory","Yarra Ranges (S)",0
"Persons, Place of Work","Northern Territory","Yarriambiack (S)",0
"Persons, Place of Work","Northern Territory","POW Capital city undefined (Greater Melbourne)",13
"Persons, Place of Work","Northern Territory","Unincorporated Vic",6
"Persons, Place of Work","Northern Territory","POW No Fixed Address (Vic.)",10
"Persons, Place of Work","Northern Territory","POW State/Territory undefined (Vic.)",34
"Persons, Place of Work","Australian Capital Territory","Alpine (S)",0
"Persons, Place of Work","Australian Capital Territory","Ararat (RC)",0
"Persons, Place of Work","Australian Capital Territory","Ballarat (C)",0
"Persons, Place of Work","Australian Capital Territory","Banyule (C)",4
"Persons, Place of Work","Australian Capital Territory","Bass Coast (S)",3
"Persons, Place of Work","Australian Capital Territory","Baw Baw (S)",0
"Persons, Place of Work","Australian Capital Territory","Bayside (C)",0
"Persons, Place of Work","Australian Capital Territory","Benalla (RC)",0
"Persons, Place of Work","Australian Capital Territory","Boroondara (C)",12
"Persons, Place of Work","Australian Capital Territory","Brimbank (C)",3
"Persons, Place of Work","Australian Capital Territory","Buloke (S)",0
"Persons, Place of Work","Australian Capital Territory","Campaspe (S)",0
"Persons, Place of Work","Australian Capital Territory","Cardinia (S)",0
"Persons, Place of Work","Australian Capital Territory","Casey (C)",0
"Persons, Place of Work","Australian Capital Territory","Central Goldfields (S)",0
"Persons, Place of Work","Australian Capital Territory","Colac-Otway (S)",0
"Persons, Place of Work","Australian Capital Territory","Corangamite (S)",0
"Persons, Place of Work","Australian Capital Territory","Darebin (C)",0
"Persons, Place of Work","Australian Capital Territory","East Gippsland (S)",3
"Persons, Place of Work","Australian Capital Territory","Frankston (C)",0
"Persons, Place of Work","Australian Capital Territory","Gannawarra (S)",0
"Persons, Place of Work","Australian Capital Territory","Glen Eira (C)",3
"Persons, Place of Work","Australian Capital Territory","Glenelg (S)",0
"Persons, Place of Work","Australian Capital Territory","Golden Plains (S)",0
"Persons, Place of Work","Australian Capital Territory","Greater Bendigo (C)",0
"Persons, Place of Work","Australian Capital Territory","Greater Dandenong (C)",3
"Persons, Place of Work","Australian Capital Territory","Greater Geelong (C)",4
"Persons, Place of Work","Australian Capital Territory","Greater Shepparton (C)",0
"Persons, Place of Work","Australian Capital Territory","Hepburn (S)",0
"Persons, Place of Work","Australian Capital Territory","Hindmarsh (S)",0
"Persons, Place of Work","Australian Capital Territory","Hobsons Bay (C)",0
"Persons, Place of Work","Australian Capital Territory","Horsham (RC)",0
"Persons, Place of Work","Australian Capital Territory","Hume (C)",19
"Persons, Place of Work","Australian Capital Territory","Indigo (S)",0
"Persons, Place of Work","Australian Capital Territory","Kingston (C)",8
"Persons, Place of Work","Australian Capital Territory","Knox (C)",5
"Persons, Place of Work","Australian Capital Territory","Latrobe (C)",0
"Persons, Place of Work","Australian Capital Territory","Loddon (S)",0
"Persons, Place of Work","Australian Capital Territory","Macedon Ranges (S)",0
"Persons, Place of Work","Australian Capital Territory","Manningham (C)",0
"Persons, Place of Work","Australian Capital Territory","Mansfield (S)",0
"Persons, Place of Work","Australian Capital Territory","Maribyrnong (C)",0
"Persons, Place of Work","Australian Capital Territory","Maroondah (C)",0
"Persons, Place of Work","Australian Capital Territory","Melbourne (C)",84
"Persons, Place of Work","Australian Capital Territory","Melton (S)",0
"Persons, Place of Work","Australian Capital Territory","Mildura (RC)",0
"Persons, Place of Work","Australian Capital Territory","Mitchell (S)",5
"Persons, Place of Work","Australian Capital Territory","Moira (S)",0
"Persons, Place of Work","Australian Capital Territory","Monash (C)",4
"Persons, Place of Work","Australian Capital Territory","Moonee Valley (C)",3
"Persons, Place of Work","Australian Capital Territory","Moorabool (S)",0
"Persons, Place of Work","Australian Capital Territory","Moreland (C)",3
"Persons, Place of Work","Australian Capital Territory","Mornington Peninsula (S)",5
"Persons, Place of Work","Australian Capital Territory","Mount Alexander (S)",0
"Persons, Place of Work","Australian Capital Territory","Moyne (S)",0
"Persons, Place of Work","Australian Capital Territory","Murrindindi (S)",0
"Persons, Place of Work","Australian Capital Territory","Nillumbik (S)",0
"Persons, Place of Work","Australian Capital Territory","Northern Grampians (S)",0
"Persons, Place of Work","Australian Capital Territory","Port Phillip (C)",14
"Persons, Place of Work","Australian Capital Territory","Pyrenees (S)",0
"Persons, Place of Work","Australian Capital Territory","Queenscliffe (B)",0
"Persons, Place of Work","Australian Capital Territory","South Gippsland (S)",0
"Persons, Place of Work","Australian Capital Territory","Southern Grampians (S)",0
"Persons, Place of Work","Australian Capital Territory","Stonnington (C)",0
"Persons, Place of Work","Australian Capital Territory","Strathbogie (S)",0
"Persons, Place of Work","Australian Capital Territory","Surf Coast (S)",0
"Persons, Place of Work","Australian Capital Territory","Swan Hill (RC)",0
"Persons, Place of Work","Australian Capital Territory","Towong (S)",0
"Persons, Place of Work","Australian Capital Territory","Wangaratta (RC)",0
"Persons, Place of Work","Australian Capital Territory","Warrnambool (C)",0
"Persons, Place of Work","Australian Capital Territory","Wellington (S)",0
"Persons, Place of Work","Australian Capital Territory","West Wimmera (S)",0
"Persons, Place of Work","Australian Capital Territory","Whitehorse (C)",3
"Persons, Place of Work","Australian Capital Territory","Whittlesea (C)",3
"Persons, Place of Work","Australian Capital Territory","Wodonga (RC)",10
"Persons, Place of Work","Australian Capital Territory","Wyndham (C)",3
"Persons, Place of Work","Australian Capital Territory","Yarra (C)",10
"Persons, Place of Work","Australian Capital Territory","Yarra Ranges (S)",0
"Persons, Place of Work","Australian Capital Territory","Yarriambiack (S)",0
"Persons, Place of Work","Australian Capital Territory","POW Capital city undefined (Greater Melbourne)",8
"Persons, Place of Work","Australian Capital Territory","Unincorporated Vic",3
"Persons, Place of Work","Australian Capital Territory","POW No Fixed Address (Vic.)",23
"Persons, Place of Work","Australian Capital Territory","POW State/Territory undefined (Vic.)",33
"Persons, Place of Work","Other Territories","Alpine (S)",0
"Persons, Place of Work","Other Territories","Ararat (RC)",0
"Persons, Place of Work","Other Territories","Ballarat (C)",0
"Persons, Place of Work","Other Territories","Banyule (C)",0
"Persons, Place of Work","Other Territories","Bass Coast (S)",0
"Persons, Place of Work","Other Territories","Baw Baw (S)",0
"Persons, Place of Work","Other Territories","Bayside (C)",0
"Persons, Place of Work","Other Territories","Benalla (RC)",0
"Persons, Place of Work","Other Territories","Boroondara (C)",0
"Persons, Place of Work","Other Territories","Brimbank (C)",0
"Persons, Place of Work","Other Territories","Buloke (S)",0
"Persons, Place of Work","Other Territories","Campaspe (S)",0
"Persons, Place of Work","Other Territories","Cardinia (S)",0
"Persons, Place of Work","Other Territories","Casey (C)",0
"Persons, Place of Work","Other Territories","Central Goldfields (S)",0
"Persons, Place of Work","Other Territories","Colac-Otway (S)",0
"Persons, Place of Work","Other Territories","Corangamite (S)",0
"Persons, Place of Work","Other Territories","Darebin (C)",0
"Persons, Place of Work","Other Territories","East Gippsland (S)",0
"Persons, Place of Work","Other Territories","Frankston (C)",0
"Persons, Place of Work","Other Territories","Gannawarra (S)",0
"Persons, Place of Work","Other Territories","Glen Eira (C)",0
"Persons, Place of Work","Other Territories","Glenelg (S)",0
"Persons, Place of Work","Other Territories","Golden Plains (S)",0
"Persons, Place of Work","Other Territories","Greater Bendigo (C)",0
"Persons, Place of Work","Other Territories","Greater Dandenong (C)",0
"Persons, Place of Work","Other Territories","Greater Geelong (C)",0
"Persons, Place of Work","Other Territories","Greater Shepparton (C)",0
"Persons, Place of Work","Other Territories","Hepburn (S)",0
"Persons, Place of Work","Other Territories","Hindmarsh (S)",0
"Persons, Place of Work","Other Territories","Hobsons Bay (C)",0
"Persons, Place of Work","Other Territories","Horsham (RC)",0
"Persons, Place of Work","Other Territories","Hume (C)",0
"Persons, Place of Work","Other Territories","Indigo (S)",0
"Persons, Place of Work","Other Territories","Kingston (C)",0
"Persons, Place of Work","Other Territories","Knox (C)",0
"Persons, Place of Work","Other Territories","Latrobe (C)",0
"Persons, Place of Work","Other Territories","Loddon (S)",0
"Persons, Place of Work","Other Territories","Macedon Ranges (S)",0
"Persons, Place of Work","Other Territories","Manningham (C)",0
"Persons, Place of Work","Other Territories","Mansfield (S)",0
"Persons, Place of Work","Other Territories","Maribyrnong (C)",0
"Persons, Place of Work","Other Territories","Maroondah (C)",0
"Persons, Place of Work","Other Territories","Melbourne (C)",0
"Persons, Place of Work","Other Territories","Melton (S)",0
"Persons, Place of Work","Other Territories","Mildura (RC)",0
"Persons, Place of Work","Other Territories","Mitchell (S)",0
"Persons, Place of Work","Other Territories","Moira (S)",0
"Persons, Place of Work","Other Territories","Monash (C)",0
"Persons, Place of Work","Other Territories","Moonee Valley (C)",0
"Persons, Place of Work","Other Territories","Moorabool (S)",0
"Persons, Place of Work","Other Territories","Moreland (C)",0
"Persons, Place of Work","Other Territories","Mornington Peninsula (S)",3
"Persons, Place of Work","Other Territories","Mount Alexander (S)",0
"Persons, Place of Work","Other Territories","Moyne (S)",0
"Persons, Place of Work","Other Territories","Murrindindi (S)",0
"Persons, Place of Work","Other Territories","Nillumbik (S)",0
"Persons, Place of Work","Other Territories","Northern Grampians (S)",0
"Persons, Place of Work","Other Territories","Port Phillip (C)",0
"Persons, Place of Work","Other Territories","Pyrenees (S)",0
"Persons, Place of Work","Other Territories","Queenscliffe (B)",0
"Persons, Place of Work","Other Territories","South Gippsland (S)",0
"Persons, Place of Work","Other Territories","Southern Grampians (S)",0
"Persons, Place of Work","Other Territories","Stonnington (C)",0
"Persons, Place of Work","Other Territories","Strathbogie (S)",0
"Persons, Place of Work","Other Territories","Surf Coast (S)",0
"Persons, Place of Work","Other Territories","Swan Hill (RC)",0
"Persons, Place of Work","Other Territories","Towong (S)",0
"Persons, Place of Work","Other Territories","Wangaratta (RC)",0
"Persons, Place of Work","Other Territories","Warrnambool (C)",0
"Persons, Place of Work","Other Territories","Wellington (S)",0
"Persons, Place of Work","Other Territories","West Wimmera (S)",0
"Persons, Place of Work","Other Territories","Whitehorse (C)",0
"Persons, Place of Work","Other Territories","Whittlesea (C)",0
"Persons, Place of Work","Other Territories","Wodonga (RC)",0
"Persons, Place of Work","Other Territories","Wyndham (C)",0
"Persons, Place of Work","Other Territories","Yarra (C)",0
"Persons, Place of Work","Other Territories","Yarra Ranges (S)",0
"Persons, Place of Work","Other Territories","Yarriambiack (S)",0
"Persons, Place of Work","Other Territories","POW Capital city undefined (Greater Melbourne)",0
"Persons, Place of Work","Other Territories","Unincorporated Vic",0
"Persons, Place of Work","Other Territories","POW No Fixed Address (Vic.)",0
"Persons, Place of Work","Other Territories","POW State/Territory undefined (Vic.)",0

"Data Source: Census of Population and Housing, 2011, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
